    300001  11      103.0   800.0    17.3   192.2  1.1960  3.3459
    300002  10      204.4   318.8  -800.0   730.7  0.5341  1.4250
    300003  11      180.0     0.8   800.0  -314.9  0.9650  5.0507
    300004  10       58.7  -375.1  -800.0  -897.3  1.1077  1.3408
    300005  11      306.5   707.3  -680.7  1000.0  0.1339  1.1401
    300006  10      121.8   343.8  -501.0  1000.0  0.8471  1.9027
    300007  10       48.2  -800.0   201.5   478.0  0.6736  0.4287
    300008  10      289.9   800.0  -443.9   126.8  0.8196  4.0424
    300009  11      795.7  -330.3   337.7  1000.0  1.2554  3.2988
    300010  11      873.9  -589.4  -800.0  -927.5  0.8876  0.8259
    300011  10      228.7   179.1   684.1  1000.0  0.5036  3.5029
    300012  10      236.4  -172.2  -800.0   850.5  0.2967  1.7406
    300013  11       65.2   351.8   800.0  -345.5  0.5994  4.1216
    300014  10      649.6  -405.4  -482.8  1000.0  0.8254  0.6546
    300015  11       54.6    38.3  -600.8  1000.0  0.2148  5.5215
    300016  10       32.9   -58.7   324.3  1000.0  0.5467  5.8540
    300017  10      312.4  -354.3   800.0   218.7  0.5430  5.6626
    300018  10      109.9   457.3   -67.4  1000.0  0.9652  3.3053
    300019  11      115.1    12.3  -582.8  1000.0  0.5809  2.2482
    300020  10       31.4   -88.4  -617.0  1000.0  0.6024  5.9547
    300021  11       38.1  -280.2  -800.0  -912.9  1.1880  1.6660
    300022  10        2.1  -800.0  -295.4  -789.1  0.7672  5.8104
    300023  10       43.1  -800.0   -47.7  -589.8  0.5674  0.5691
    300024  11      967.4   800.0  -501.0  -489.0  1.2925  3.6770
    300025  10      258.3  -800.0  -314.5   943.4  0.3175  1.2039
    300026  10      299.0   800.0    69.4  -774.0  0.8153  2.6572
    300027  10      100.9   744.7  -800.0   616.7  0.4381  1.8959
    300028  10      192.6   800.0   340.4   604.9  0.4941  3.9201
    300029  11      841.1  -618.7   800.0  -416.9  0.9553  5.9575
    300030  10       46.3   -85.8  -673.1  1000.0  0.9358  0.1456
    300031  10      133.1   514.3   -19.9  1000.0  0.5122  1.4957
    300032  10      621.3  -800.0  -783.6  -552.6  0.5897  0.3043
    300033  11       11.3   800.0   108.5  -242.1  0.4549  3.9227
    300034  11       44.1  -599.5   320.7  1000.0  0.3651  3.4247
    300035  11       65.8   800.0   570.0   893.0  0.3337  1.9120
    300036  10      106.1   237.3   800.0   355.6  0.4459  6.0553
    300037  10       40.4   348.7  -670.6  1000.0  0.4247  0.4696
    300038  10      126.2   511.6  -800.0  -580.8  0.6450  1.8938
    300039  11       31.7   222.2  -772.4  1000.0  0.3981  1.1081
    300040  10      175.4   800.0  -492.9    64.2  1.2264  3.2677
    300041  11      301.6   600.9  -800.0   632.2  1.1664  2.0855
    300042  10      431.9   518.6  -800.0  -584.8  1.0543  1.4301
    300043  11      257.8  -383.3  -514.6  1000.0  0.6184  2.7734
    300044  11      216.1  -247.6  -800.0  -494.4  0.5796  0.6661
    300045  11       73.7  -800.0  -608.9  -132.4  0.3973  0.3185
    300046  10      174.9   580.4  -729.5  1000.0  0.8219  1.8915
    300047  10      707.2  -800.0   336.2   544.1  0.5725  0.7023
    300048  11       60.8   414.8   -83.9  1000.0  0.4475  0.2564
    300049  11      368.0   800.0   668.9  -889.0  1.3212  2.8488
    300050  10       18.0   794.8   298.3  1000.0  0.2207  5.5090
    300051  10        4.9   426.7  -240.7  1000.0  0.7769  3.7203
    300052  11        8.2  -343.6  -603.4  1000.0  0.7629  5.6604
    300053  10      245.7  -592.8   124.2  1000.0  0.3872  1.9750
    300054  10       65.5   163.8  -800.0   186.8  0.7678  2.1615
    300055  11       11.9   677.5  -800.0  -456.1  0.2212  1.0955
    300056  11     1105.9  -100.2  -725.0  1000.0  0.7953  1.1791
    300057  11      888.4   530.7   729.3  1000.0  0.7613  0.2756
    300058  10      459.2   800.0  -771.6  -429.1  0.4587  4.2192
    300059  11      124.9   151.9  -800.0   268.7  0.7984  1.2976
    300060  11      227.1  -669.2  -438.2  1000.0  0.6354  1.1187
    300061  10       27.8   800.0   194.7   510.2  1.2691  3.0807
    300062  11        4.6   396.1   724.5  1000.0  0.1098  5.3003
    300063  10        2.9  -800.0  -363.9   448.3  0.4403  0.1651
    300064  10      580.8   800.0  -629.2  -918.5  0.6028  3.4069
    300065  11      112.7   800.0  -568.8   886.8  1.1561  2.4842
    300066  11       55.5   -63.1  -379.1  1000.0  0.4347  0.7480
    300067  11      171.5   800.0   490.0   323.4  0.9027  3.4047
